Model,Params,Train_Accuracy,Test_Accuracy,PerClassAcc[CHP and/or Cogeneration Process],F1[CHP and/or Cogeneration Process],PerClassAcc[Conventional Boiler Use],F1[Conventional Boiler Use],PerClassAcc[Process Heating],F1[Process Heating]
RandomForrest_1,"{'n_estimators': 200, 'max_depth': None, 'max_features': 'sqrt', 'random_state': 123}",0.9804582565183039,0.8509427999578637,0.8239523649028199,0.8416824467779882,0.7348411934552455,0.705556197296985,0.9728453364817001,0.9703903095558546
RandomForrest_3,"{'n_estimators': 300, 'max_depth': None, 'max_features': None, 'random_state': 123}",0.9804582565183039,0.8508901295691562,0.8235029771935738,0.8417547083141939,0.7353224254090471,0.7056921833506523,0.973013998988025,0.9699873896595208
DecisionTree_1,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 123}",0.9804582565183039,0.8507847887917412,0.8237276710481969,0.8417427242982607,0.7348411934552455,0.7054747054747055,0.9726766739753753,0.9698141764062894
DecisionTree_2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 123}",0.8167500658414538,0.8129674496997787,0.9239411302100887,0.8282807936348071,0.3618864292589028,0.48097217780620405,0.9625569235958846,0.9623946037099494
RandomForrest_2,"{'n_estimators': 500, 'max_depth': 5, 'max_features': 'sqrt', 'random_state': 123}",0.8014485119831446,0.7997998525229116,0.9569711268396809,0.8181730861588704,0.2940327237728585,0.4231301939058172,0.9183673469387755,0.9574468085106383
DecisionTree_3,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'random_state': 123}",0.78928101132473,0.7884757189508058,0.9461858218177733,0.808059486687455,0.26539942252165544,0.3834521119415957,0.9183673469387755,0.9574468085106383
SVM_2,"{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}",0.7657492757440084,0.7657747814178869,0.993933265925177,0.7991508965268055,0.05702598652550529,0.1068289384719405,0.920053972002024,0.9575215025451992
SVM_3,"{'kernel': 'poly', 'C': 1.0, 'degree': 3, 'coef0': 1}",0.7643007637608639,0.7643000105340777,0.9962925513987192,0.7985232542433929,0.045476419634263715,0.08657810352725608,0.9198853094956991,0.9572619569986837
SVM_1,"{'kernel': 'linear', 'C': 1.0}",0.7570450355543851,0.7575582007795217,0.9979777553083923,0.7942241494926013,0.013233878729547642,0.02603550295857988,0.9183673469387755,0.9571102126911584
