pop_size,generations,mutation_rate,seed,best_profit,setup
100,100,0.05,1,4733414.090027548,baseline (1 line)
100,100,0.05,2,5280386.278201653,baseline (1 line)
100,100,0.05,3,4733414.090027548,baseline (1 line)
100,100,0.1,1,4733414.090027548,baseline (1 line)
100,100,0.1,2,5280386.278201653,baseline (1 line)
100,100,0.1,3,4733414.090027548,baseline (1 line)
100,100,0.2,1,4733414.090027548,baseline (1 line)
100,100,0.2,2,5280386.278201653,baseline (1 line)
100,100,0.2,3,4733414.090027548,baseline (1 line)
200,100,0.05,1,5277338.190094898,baseline (1 line)
200,100,0.05,2,5723555.840003397,baseline (1 line)
200,100,0.05,3,5723555.840003396,baseline (1 line)
200,100,0.1,1,5280386.278201653,baseline (1 line)
200,100,0.1,2,5723555.840003397,baseline (1 line)
200,100,0.1,3,5723555.840003396,baseline (1 line)
200,100,0.2,1,5280386.278201653,baseline (1 line)
200,100,0.2,2,5723555.840003397,baseline (1 line)
200,100,0.2,3,5723555.840003396,baseline (1 line)
100,100,0.05,1,9229850.397960726,2 lines (no crossover)
100,100,0.05,2,8776462.988088254,2 lines (no crossover)
100,100,0.05,3,8793753.446293568,2 lines (no crossover)
100,100,0.1,1,9302385.671039855,2 lines (no crossover)
100,100,0.1,2,9007337.910325818,2 lines (no crossover)
100,100,0.1,3,8942740.44229573,2 lines (no crossover)
100,100,0.2,1,9290440.663114186,2 lines (no crossover)
100,100,0.2,2,9007337.910325818,2 lines (no crossover)
100,100,0.2,3,8944706.923311982,2 lines (no crossover)
200,100,0.05,1,9195741.986598017,2 lines (no crossover)
200,100,0.05,2,8927000.635094836,2 lines (no crossover)
200,100,0.05,3,9288474.182097938,2 lines (no crossover)
200,100,0.1,1,9309915.899569876,2 lines (no crossover)
200,100,0.1,2,9007337.910325818,2 lines (no crossover)
200,100,0.1,3,9309915.899569876,2 lines (no crossover)
200,100,0.2,1,9007337.910325818,2 lines (no crossover)
200,100,0.2,2,9007337.910325818,2 lines (no crossover)
200,100,0.2,3,9311882.380586123,2 lines (no crossover)
100,100,0.05,1,8942740.44229573,2 lines (with crossover)
100,100,0.05,2,9311882.380586123,2 lines (with crossover)
100,100,0.05,3,8894661.422767144,2 lines (with crossover)
100,100,0.1,1,9309915.899569876,2 lines (with crossover)
100,100,0.1,2,9311882.380586123,2 lines (with crossover)
100,100,0.1,3,8894661.422767144,2 lines (with crossover)
100,100,0.2,1,9309915.899569876,2 lines (with crossover)
100,100,0.2,2,9311882.380586123,2 lines (with crossover)
100,100,0.2,3,8894661.422767144,2 lines (with crossover)
200,100,0.05,1,8556867.949136635,2 lines (with crossover)
200,100,0.05,2,8944706.92331198,2 lines (with crossover)
200,100,0.05,3,9007337.910325818,2 lines (with crossover)
200,100,0.1,1,8944706.92331198,2 lines (with crossover)
200,100,0.1,2,9007337.910325818,2 lines (with crossover)
200,100,0.1,3,9007337.910325818,2 lines (with crossover)
200,100,0.2,1,8556867.949136635,2 lines (with crossover)
200,100,0.2,2,9007337.910325818,2 lines (with crossover)
200,100,0.2,3,8944706.92331198,2 lines (with crossover)
