"run_id","H_id","T","theta","N_T","K_T","n_s","K_sample","esf_loglik","EK_esf","K_gap","mu","rho"
1,1,1000,0.1,1000,15,50,3,-5.69766771935183,1.43277627095053,1.56722372904947,0.05,0.1
2,1,1000,0.3,1000,28,50,4,-9.47083415765488,2.22316680175493,1.77683319824507,0.05,0.1
3,1,1000,1,1000,81,50,17,-27.6870569030589,4.49920533832942,12.5007946616706,0.05,0.1
4,1,1000,3,1000,178,50,31,-39.0612700236247,9.11413185209235,21.8858681479077,0.05,0.1
5,1,1000,10,1000,354,50,41,-30.9240478196782,18.3423549231682,22.6576450768318,0.05,0.1
6,2,1000,0.1,1000,9,50,3,-8.60069059480156,1.43277627095053,1.56722372904947,0.15,0.1
7,2,1000,0.3,1000,13,50,5,-13.941581162454,2.22316680175493,2.77683319824507,0.15,0.1
8,2,1000,1,1000,50,50,12,-17.0452076214641,4.49920533832942,7.50079466167058,0.15,0.1
9,2,1000,3,1000,130,50,33,-39.4811238691849,9.11413185209235,23.8858681479077,0.15,0.1
10,2,1000,10,1000,250,50,41,-29.4199704229019,18.3423549231682,22.6576450768318,0.15,0.1
11,3,1000,0.1,1000,5,50,2,-4.74153107893048,1.43277627095053,0.567223729049474,0.25,0.1
12,3,1000,0.3,1000,10,50,5,-11.4857371781971,2.22316680175493,2.77683319824507,0.25,0.1
13,3,1000,1,1000,40,50,24,-44.0772226080324,4.49920533832942,19.5007946616706,0.25,0.1
14,3,1000,3,1000,105,50,33,-42.4500448852883,9.11413185209235,23.8858681479077,0.25,0.1
15,3,1000,10,1000,214,50,40,-27.8795253819548,18.3423549231682,21.6576450768318,0.25,0.1
16,4,1000,0.1,1000,4,50,3,-7.09946626700769,1.43277627095053,1.56722372904947,0.35,0.1
17,4,1000,0.3,1000,8,50,6,-15.1729732465674,2.22316680175493,3.77683319824507,0.35,0.1
18,4,1000,1,1000,21,50,9,-12.4653552434603,4.49920533832942,4.50079466167058,0.35,0.1
19,4,1000,3,1000,41,50,11,-11.4905334139342,9.11413185209235,1.88586814790765,0.35,0.1
20,4,1000,10,1000,106,50,31,-15.5524502056481,18.3423549231682,12.6576450768318,0.35,0.1
21,5,1000,0.1,1000,1,50,1,-0.440172347324053,1.43277627095053,-0.432776270950526,0.45,0.1
22,5,1000,0.3,1000,3,50,2,-2.4634490377239,2.22316680175493,-0.223166801754927,0.45,0.1
23,5,1000,1,1000,18,50,12,-16.4907069341954,4.49920533832942,7.50079466167058,0.45,0.1
24,5,1000,3,1000,33,50,19,-17.9271565502908,9.11413185209235,9.88586814790765,0.45,0.1
25,5,1000,10,1000,78,50,22,-8.11020291753969,18.3423549231682,3.65764507683183,0.45,0.1
26,6,1000,0.1,1000,1,50,1,-0.440172347324053,1.43277627095053,-0.432776270950526,0.55,0.1
27,6,1000,0.3,1000,3,50,2,-5.70252756990962,2.22316680175493,-0.223166801754927,0.55,0.1
28,6,1000,1,1000,9,50,4,-7.6889133368648,4.49920533832942,-0.499205338329425,0.55,0.1
29,6,1000,3,1000,27,50,13,-12.7872156163644,9.11413185209235,3.88586814790765,0.55,0.1
30,6,1000,10,1000,76,50,25,-9.3221438915148,18.3423549231682,6.65764507683183,0.55,0.1
31,7,1000,0.1,1000,1,50,1,-0.440172347324053,1.43277627095053,-0.432776270950526,0.65,0.1
32,7,1000,0.3,1000,5,50,3,-5.16922909029157,2.22316680175493,0.776833198245073,0.65,0.1
33,7,1000,1,1000,13,50,9,-13.6409285732645,4.49920533832942,4.50079466167058,0.65,0.1
34,7,1000,3,1000,25,50,14,-12.1224679103262,9.11413185209235,4.88586814790765,0.65,0.1
35,7,1000,10,1000,66,50,21,-10.6258812259944,18.3423549231682,2.65764507683183,0.65,0.1
36,8,1000,0.1,1000,2,50,1,-0.440172347324053,1.43277627095053,-0.432776270950526,0.75,0.1
37,8,1000,0.3,1000,7,50,3,-4.96855839482942,2.22316680175493,0.776833198245073,0.75,0.1
38,8,1000,1,1000,8,50,5,-9.26198360512802,4.49920533832942,0.500794661670575,0.75,0.1
39,8,1000,3,1000,19,50,9,-10.9980569288364,9.11413185209235,-0.114131852092347,0.75,0.1
40,8,1000,10,1000,64,50,23,-10.1488224646993,18.3423549231682,4.65764507683183,0.75,0.1
41,9,1000,0.1,1000,1,50,1,-0.440172347324053,1.43277627095053,-0.432776270950526,0.85,0.1
42,9,1000,0.3,1000,4,50,3,-6.09996050632052,2.22316680175493,0.776833198245073,0.85,0.1
43,9,1000,1,1000,9,50,2,-3.89182029811063,4.49920533832942,-2.49920533832942,0.85,0.1
44,9,1000,3,1000,17,50,12,-11.4623625369675,9.11413185209235,2.88586814790765,0.85,0.1
45,9,1000,10,1000,58,50,22,-10.1643266512352,18.3423549231682,3.65764507683183,0.85,0.1
46,10,1000,0.1,1000,1,50,1,-0.440172347324053,1.43277627095053,-0.432776270950526,0.95,0.1
47,10,1000,0.3,1000,4,50,2,-3.98772914181769,2.22316680175493,-0.223166801754927,0.95,0.1
48,10,1000,1,1000,10,50,8,-13.3816459753344,4.49920533832942,3.50079466167058,0.95,0.1
49,10,1000,3,1000,25,50,12,-11.6395689930947,9.11413185209235,2.88586814790765,0.95,0.1
50,10,1000,10,1000,51,50,16,-11.0671953627777,18.3423549231682,-2.34235492316817,0.95,0.1
